IATA,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,ALT_ID
SNA,John Wayne AirportÂ (Orange County Airport),Santa Ana,CA,33.67566,-117.86822,14908
SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762,14952
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,33.9888,-98.49189,14960
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411,14986
STC,St. Cloud Regional Airport,St Cloud,MN,45.54532,-94.05834,15008
STL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999,15016
STT,Cyril E. King Airport,Charlotte Amalie,VI,18.33731,-64.97336,15024
STX,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856,15027
SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659,15041
SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437,15048
SWF,Stewart International Airport,Newburgh,NY,41.50409,-74.10484,15070
SYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631,15096
TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033,15249
TOL,Toledo Express Airport,Toledo,OH,41.58681,-83.80783,15295
TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325,15304
TRI,Tri-Cities Regional Airport,Bristol,TN,36.47521,-82.40742,15323
TTN,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347,15356
TUL,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824,15370
TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103,15376
TVC,Cherry Capital Airport,Traverse City,MI,44.74144,-85.58224,15380
TWF,Magic Valley Regional AirportÂ (Joslin Field),Twin Falls,ID,42.4818,-114.48774,15389
TXK,Texarkana Regional AirportÂ (Webb Field),Texarkana,AR,33.45371,-93.99102,15401
TYR,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239,15411
TYS,McGhee Tyson Airport,Knoxville,TN,35.81249,-83.99286,15412
UST,Northeast Florida Regional AirportÂ (St. Augustine Airport),St. Augustine,FL,29.95925,-81.339722,15497
VEL,Vernal Regional Airport,Vernal,UT,40.4409,-109.50992,15582
VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672,15607
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254,15624
WRG,Wrangell Airport,Wrangell,AK,56.48433,-132.36982,15841
WYS,Yellowstone Airport,West Yellowstone,MT,44.6884,-111.11764,15897
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681,15919
YAK,Yakutat Airport,Yakutat,AK,59.50336,-139.66023,15991
YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597,16218
